h_cty,36001,36003,36005,36007,36009,36011,36013,36015,36017,36019,36021,36023,36025,36027,36029,36031,36033,36035,36037,36039,36041,36043,36045,36047,36049,36051,36053,36055,36057,36059,36061,36063,36065,36067,36069,36071,36073,36075,36077,36079,36081,36083,36085,36087,36089,36091,36093,36095,36097,36099,36101,36103,36105,36107,36109,36111,36113,36115,36117,36119,36121,36123
36019,781.0,11.0,14.0,78.0,17.0,48.0,13.0,37.0,49.0,23932.0,21.0,37.0,13.0,51.0,230.0,1251.0,1015.0,108.0,30.0,23.0,14.0,29.0,179.0,15.0,25.0,26.0,41.0,302.0,59.0,80.0,175.0,37.0,345.0,331.0,45.0,65.0,16.0,45.0,36.0,3.0,27.0,74.0,11.0,14.0,886.0,300.0,132.0,40.0,2.0,16.0,37.0,116.0,18.0,8.0,51.0,70.0,462.0,170.0,25.0,38.0,15.0,6.0
36021,3547.0,20.0,104.0,100.0,6.0,17.0,15.0,36.0,15.0,18.0,11477.0,20.0,52.0,2030.0,72.0,28.0,28.0,46.0,8.0,702.0,1.0,33.0,26.0,315.0,8.0,11.0,21.0,125.0,62.0,227.0,955.0,12.0,131.0,213.0,21.0,277.0,0.0,27.0,60.0,28.0,243.0,1169.0,59.0,91.0,16.0,379.0,460.0,64.0,2.0,12.0,38.0,329.0,69.0,7.0,28.0,840.0,67.0,38.0,4.0,354.0,5.0,5.0
36023,263.0,12.0,28.0,1012.0,17.0,284.0,24.0,120.0,262.0,7.0,9.0,9262.0,103.0,62.0,245.0,10.0,16.0,17.0,20.0,10.0,0.0,43.0,33.0,84.0,1.0,27.0,243.0,419.0,22.0,116.0,326.0,28.0,413.0,1714.0,88.0,72.0,8.0,93.0,276.0,1.0,59.0,23.0,16.0,30.0,15.0,43.0,29.0,36.0,22.0,52.0,45.0,115.0,42.0,121.0,3149.0,59.0,17.0,7.0,26.0,137.0,15.0,7.0
36025,884.0,13.0,54.0,612.0,7.0,13.0,8.0,30.0,634.0,20.0,51.0,24.0,7167.0,107.0,63.0,10.0,27.0,94.0,10.0,192.0,3.0,103.0,23.0,229.0,6.0,8.0,64.0,106.0,97.0,203.0,370.0,9.0,478.0,178.0,10.0,122.0,2.0,19.0,2017.0,7.0,159.0,124.0,51.0,78.0,11.0,167.0,295.0,203.0,3.0,6.0,27.0,228.0,445.0,22.0,45.0,334.0,45.0,28.0,7.0,156.0,2.0,3.0
36027,1892.0,8.0,1588.0,275.0,15.0,29.0,16.0,108.0,45.0,52.0,977.0,53.0,46.0,62044.0,315.0,26.0,13.0,53.0,15.0,271.0,0.0,23.0,33.0,2173.0,2.0,12.0,31.0,309.0,69.0,2198.0,9862.0,50.0,229.0,543.0,44.0,6973.0,5.0,55.0,116.0,5365.0,2035.0,305.0,424.0,1475.0,31.0,446.0,251.0,55.0,5.0,40.0,30.0,2626.0,339.0,13.0,96.0,5765.0,132.0,26.0,21.0,14164.0,3.0,5.0
36029,1499.0,446.0,181.0,655.0,2923.0,209.0,3065.0,526.0,71.0,92.0,112.0,163.0,42.0,135.0,363268.0,19.0,79.0,95.0,2002.0,37.0,0.0,45.0,259.0,239.0,17.0,749.0,152.0,10771.0,21.0,1529.0,3229.0,16960.0,758.0,3434.0,961.0,359.0,737.0,300.0,106.0,20.0,489.0,67.0,55.0,173.0,96.0,195.0,204.0,30.0,27.0,257.0,419.0,1167.0,22.0,44.0,331.0,106.0,135.0,24.0,248.0,593.0,1901.0,57.0
36031,370.0,5.0,6.0,37.0,2.0,28.0,6.0,21.0,24.0,1449.0,6.0,23.0,5.0,27.0,83.0,8267.0,1181.0,66.0,5.0,10.0,30.0,21.0,93.0,5.0,45.0,7.0,12.0,154.0,35.0,31.0,86.0,13.0,150.0,166.0,30.0,24.0,3.0,21.0,23.0,0.0,9.0,43.0,6.0,4.0,329.0,188.0,71.0,10.0,2.0,7.0,11.0,33.0,4.0,4.0,21.0,36.0,780.0,179.0,11.0,26.0,10.0,5.0
36033,485.0,8.0,3.0,38.0,8.0,32.0,6.0,22.0,24.0,1370.0,14.0,16.0,12.0,43.0,135.0,1444.0,10134.0,66.0,12.0,13.0,61.0,22.0,127.0,7.0,29.0,10.0,22.0,186.0,33.0,32.0,118.0,24.0,212.0,191.0,45.0,31.0,6.0,37.0,30.0,3.0,15.0,42.0,5.0,9.0,1425.0,187.0,79.0,20.0,4.0,20.0,22.0,60.0,11.0,4.0,27.0,41.0,165.0,107.0,18.0,33.0,3.0,2.0
36035,2068.0,7.0,29.0,112.0,10.0,26.0,12.0,26.0,80.0,43.0,78.0,31.0,33.0,103.0,141.0,28.0,28.0,9783.0,15.0,54.0,88.0,406.0,68.0,51.0,6.0,11.0,52.0,200.0,3687.0,125.0,354.0,11.0,402.0,394.0,39.0,107.0,6.0,33.0,155.0,10.0,84.0,282.0,18.0,36.0,54.0,1591.0,1419.0,222.0,4.0,25.0,15.0,156.0,36.0,15.0,38.0,81.0,167.0,66.0,16.0,99.0,4.0,6.0
36037,129.0,65.0,3.0,93.0,90.0,48.0,58.0,72.0,10.0,10.0,0.0,37.0,11.0,14.0,4956.0,4.0,8.0,7.0,11116.0,4.0,0.0,4.0,33.0,15.0,7.0,802.0,28.0,5699.0,2.0,68.0,244.0,613.0,78.0,384.0,248.0,33.0,715.0,65.0,19.0,1.0,44.0,7.0,8.0,25.0,17.0,38.0,23.0,3.0,18.0,42.0,91.0,73.0,6.0,3.0,53.0,18.0,10.0,4.0,95.0,78.0,906.0,15.0
36039,3522.0,13.0,94.0,74.0,5.0,12.0,14.0,29.0,13.0,12.0,1760.0,6.0,113.0,740.0,53.0,26.0,29.0,45.0,9.0,6587.0,0.0,21.0,19.0,248.0,6.0,10.0,18.0,94.0,53.0,225.0,730.0,6.0,105.0,147.0,20.0,241.0,5.0,17.0,40.0,23.0,198.0,521.0,47.0,88.0,12.0,303.0,370.0,87.0,2.0,10.0,26.0,233.0,36.0,3.0,26.0,1427.0,67.0,34.0,9.0,308.0,9.0,2.0
36041,50.0,1.0,1.0,6.0,1.0,2.0,1.0,2.0,4.0,40.0,1.0,4.0,2.0,3.0,17.0,67.0,52.0,13.0,0.0,1.0,835.0,38.0,20.0,1.0,6.0,0.0,2.0,20.0,3.0,5.0,17.0,2.0,18.0,25.0,4.0,5.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,57.0,23.0,6.0,2.0,1.0,0.0,3.0,10.0,0.0,0.0,1.0,8.0,112.0,12.0,2.0,3.0,0.0,0.0
36043,717.0,12.0,37.0,158.0,5.0,67.0,15.0,25.0,242.0,68.0,50.0,91.0,83.0,99.0,156.0,33.0,41.0,513.0,11.0,38.0,43.0,9315.0,210.0,56.0,81.0,11.0,328.0,231.0,531.0,112.0,356.0,20.0,8990.0,1698.0,48.0,121.0,6.0,198.0,960.0,7.0,96.0,106.0,12.0,44.0,75.0,203.0,131.0,200.0,4.0,35.0,20.0,200.0,29.0,13.0,47.0,66.0,66.0,23.0,17.0,118.0,6.0,7.0
36045,795.0,13.0,16.0,113.0,11.0,99.0,21.0,63.0,68.0,187.0,22.0,45.0,28.0,101.0,341.0,66.0,146.0,90.0,25.0,33.0,11.0,118.0,25609.0,26.0,666.0,54.0,144.0,436.0,52.0,87.0,279.0,45.0,1327.0,1778.0,75.0,88.0,10.0,805.0,71.0,4.0,23.0,84.0,10.0,17.0,1202.0,176.0,107.0,40.0,4.0,44.0,53.0,130.0,19.0,7.0,59.0,89.0,64.0,37.0,40.0,56.0,18.0,11.0
36047,2295.0,8.0,25003.0,418.0,74.0,33.0,83.0,100.0,52.0,63.0,137.0,54.0,71.0,1457.0,1158.0,13.0,19.0,62.0,20.0,102.0,1.0,51.0,57.0,397538.0,1.0,19.0,75.0,1014.0,64.0,28729.0,473088.0,146.0,371.0,926.0,123.0,2723.0,12.0,37.0,122.0,272.0,108682.0,235.0,13646.0,3704.0,50.0,416.0,234.0,68.0,8.0,29.0,36.0,14777.0,376.0,18.0,257.0,625.0,363.0,27.0,14.0,12230.0,15.0,7.0
